,IMF_mean,IMF_std,IMF_energy,IMF_max,IMF_min,IMF_median,IMF_skewness,IMF_kurtosis,Label
SR3,6.94514E-05,0.000251672,0.002353704,0.000821904,-0.000786528,6.15987E-06,0.190896376,0.969234148,1
SR4,6.45136E-05,0.000318536,0.003647406,0.001009581,-0.001054356,5.71791E-06,-0.166722543,2.109290108,1
SR5,3.14377E-05,0.000288335,0.003319915,0.001233741,-0.001107606,6.82117E-06,-0.632438313,2.351414803,1
DB1,6.72268E-05,0.000346954,0.00369668,0.001002855,-0.00100415,1.46006E-05,0.142178924,1.606961019,0
DB2,8.28511E-05,0.000451865,0.003123276,0.001052821,-0.001048957,4.90886E-05,-0.362734016,0.168853417,0
DB3,4.04567E-05,0.000442769,0.002925485,0.001058026,-0.001059561,4.04293E-05,-0.230902318,0.487665017,0
DB4,6.19324E-05,0.000457489,0.003154139,0.001080025,-0.001106667,4.69165E-05,-0.306990617,0.344482205,0
DB5,0.000157154,0.00050975,0.004210945,0.001113274,-0.001121974,0.000114369,-0.484788611,-0.092074659,0
DB6,0.000129653,0.000491736,0.003827234,0.002090325,-0.001545431,9.02383E-05,-0.471631025,0.173624947,0
DB7,0.000177505,0.000524472,0.004537059,0.001116595,-0.001109232,0.000137992,-0.504927633,-0.167562533,0
DB8,9.10432E-05,0.000480485,0.003539245,0.00140836,-0.00118543,7.23201E-05,-0.407074176,0.379795419,0
