,DWT_mean,DWT_std,DWT_energy,DWT_median,DWT_skewness,DWT_kurtosis,Label
0.000499,-4.80E-05,0.001002172,0.002512603,-2.10E-06,-3.399024152,37.62235472,1
0.000363.3,2.43741E-05,0.000627522,0.000984369,-1.20E-07,2.300760534,44.1742343,1
-0.000734,4.68835E-05,0.000762032,0.001454897,-6.78E-07,3.008053791,40.60662915,1
0.001201,7.82771E-06,0.000759086,0.001438377,1.83331E-07,1.108264737,40.95143384,1
-0.000745,7.56603E-05,0.000890015,0.001991437,2.43052E-07,5.694154368,46.63897833,1
0.000999,0.000102952,0.000959369,0.002323746,-4.32E-09,6.817085572,52.34446158,1
0.001639,0.000175451,0.001140046,0.003320899,2.13079E-06,6.798752099,48.006445,1
0.001579,0.000112935,0.000896355,0.002037249,1.53344E-06,7.915312784,67.22574089,1
0.001251,4.75715E-05,0.000662941,0.001102619,1.16546E-06,5.809534198,52.63372236,1
0.000994,5.25075E-05,0.00066985,0.001126834,3.27117E-06,6.712898797,64.0901541,1
-0.000342,2.04406E-05,0.000566955,0.000803352,3.17547E-06,5.177088943,55.67751231,1
-0.000066,-4.99E-05,0.000446642,0.000504138,-2.65E-06,-9.242834076,114.793546,0
0.000097.1,-6.57E-05,0.000655791,0.001084203,-9.47E-07,-8.373985941,80.12210635,0
0.000073,7.42143E-05,0.000481724,0.000592965,-5.56E-07,5.337019575,32.75816766,0
0.000739,0.000109719,0.000652786,0.001093666,-4.69E-07,5.238892792,28.29388766,0
0.000642.1,7.46903E-05,0.000551939,0.000774298,-1.01E-07,5.432291697,39.60362195,0
-0.000382,-2.55E-05,0.000432968,0.000469528,-2.76E-06,-6.225531458,67.05726949,0
0.000808,0.000108049,0.000674718,0.001165431,1.4648E-07,4.93348334,26.27052555,0
0.000677.2,7.4765E-05,0.000556353,0.000786537,-2.75E-07,4.680938839,27.82888088,0
-0.000047,9.36402E-05,0.000641487,0.001049003,-1.10E-06,5.337193098,31.53238096,0
0.000976,4.74171E-05,0.00051494,0.000667459,-1.49E-06,4.330253051,32.00429012,0
0.000383,9.51039E-05,0.000617686,0.000974889,-5.24E-08,5.200554279,29.88695693,0
0.000848,8.28549E-05,0.000558244,0.00079498,-6.63E-07,4.592617433,24.58519957,0
0.000093.1,5.14802E-05,0.000472367,0.00056355,-3.71E-07,4.074123504,28.17096719,0
0.000338,8.91996E-05,0.000556587,0.000793094,1.8975E-07,4.476468895,23.0031605,0
0.000448,7.33135E-05,0.000492277,0.000618289,1.38865E-06,7.524712226,59.66484445,1
0.000376,6.32141E-05,0.000575168,0.000835696,-2.33E-06,5.809820984,50.87938376,1
-0.000333,6.26203E-05,0.000634796,0.001015589,-8.26E-07,4.862724373,35.8562659,1
0.000624.1,5.37848E-05,0.000567492,0.000811051,-7.00E-07,4.657109684,34.40357889,1
-0.000836,1.00871E-05,0.000842265,0.001770941,2.33844E-07,-0.218685378,9.564017,0
0.000335,6.50882E-05,0.000921199,0.002128701,2.5441E-06,1.410801402,13.4405628,0
0.000583,2.31313E-05,0.000844719,0.001782359,2.29919E-06,-0.093008479,8.798586956,0
0.001099,5.79248E-05,0.000919694,0.002119586,2.17644E-06,1.355233489,15.73161045,0
-0.001036,3.25862E-05,0.000855606,0.001829876,-2.45E-07,0.218127148,8.460757764,0
-0.000288,4.41568E-05,0.000851839,0.001816038,1.75549E-06,0.189722419,9.957151055,0
-0.000836.1,7.0484E-05,0.000915683,0.002105233,2.50191E-06,1.09043423,8.960694839,0
-0.000505,4.37358E-05,0.000861333,0.001856543,1.87818E-06,0.348997174,8.287011436,0
-0.001237,5.1731E-05,0.000941995,0.002221518,3.03872E-06,0.559303316,9.837129262,0
-0.001482,3.54728E-05,0.00098452,0.002422462,1.72906E-06,0.318989804,10.11106426,0
-0.000033,6.21054E-05,0.000943433,0.002231231,9.40331E-07,1.074851826,11.41718214,0
0.0002,0.000188122,0.00137999,0.004841648,1.6296E-06,4.009361367,23.16419649,0
-0.000587.1,-2.12E-05,0.001442002,0.005191225,9.60299E-07,1.373353999,25.18675615,1
-0.001197.1,6.95687E-05,0.001500857,0.005634502,6.51523E-07,2.516683164,27.98794563,1
0.000946,7.82849E-05,0.001441784,0.005203831,-6.92E-07,4.252087317,35.31974309,1
-0.000367,8.81874E-05,0.001812752,0.008221441,3.4989E-06,1.894258205,19.71138393,1
-0.002202,5.93563E-06,0.001710978,0.007306988,3.33092E-06,0.45969726,12.27632191,1
0.000131.1,7.18245E-05,0.001860259,0.008650444,2.78214E-06,1.406070145,12.58150115,1
0.000789,9.31047E-05,0.001954362,0.009555183,2.63294E-06,1.951868443,16.33959083,1
0.001939,6.64307E-05,0.001897951,0.009002152,2.63724E-06,1.796460473,16.12021124,1
-0.00031.1,5.19225E-05,0.001833237,0.008395179,-9.55E-07,0.958388435,11.34357922,1
0.000733.2,8.60647E-05,0.0018506,0.008566589,6.57081E-07,1.17525656,11.02066576,1
0.00313,2.0024E-05,0.001880595,0.008828446,-6.08E-07,0.990106529,13.76706465,1
